item_category,total_users,total_events,view_item_users,add_to_cart_users,begin_checkout_users,purchase_users,view_item_events,add_to_cart_events,begin_checkout_events,purchase_events,view_to_cart_rate,view_to_purchase_rate
Home/Shop by Brand/Google/,2959,135570,2959,699,0,0,109901,25669,0,0,0.23622845555931057,0.0
Home/Apparel/Women's/,3803,184676,3803,1045,0,0,148675,36001,0,0,0.27478306600052588,0.0
Home/Stationery/Writing/,889,35451,889,362,0,0,24868,10583,0,0,0.40719910011248595,0.0
Sale,6531,34711,6531,1999,0,0,26902,7809,0,0,0.30607870157709388,0.0
Home/Eco-Friendly/,3448,98321,3448,704,0,0,82741,15580,0,0,0.20417633410672853,0.0
Home/Stationery/Notebooks/,1820,63452,1820,555,0,0,50735,12717,0,0,0.30494505494505497,0.0
Home/Shop by Brand/Android/,814,25653,814,189,0,0,20866,4787,0,0,0.23218673218673219,0.0
Home/Shop by Brand/,773,27497,773,177,0,0,21823,5674,0,0,0.22897800776196636,0.0
Writing,392,909,392,138,0,0,656,253,0,0,0.35204081632653061,0.0
Eco-Friendly,2061,4825,2061,388,0,0,4079,746,0,0,0.18825812712275594,0.0
Accessories/,104,2201,104,3,0,0,2153,48,0,0,0.028846153846153848,0.0
Women's,2818,10562,2818,766,0,0,8387,2175,0,0,0.27182398864442869,0.0
Men's T-Shirts,364,711,364,47,0,0,630,81,0,0,0.12912087912087913,0.0
Kids,1090,3131,1090,215,0,0,2593,538,0,0,0.19724770642201836,0.0
Notebooks,697,1487,697,167,0,0,1241,246,0,0,0.23959827833572453,0.0
Home/Shop by Brand/Google Cloud/,213,684,213,25,0,0,605,79,0,0,0.11737089201877934,0.0
Hats,91,126,91,5,0,0,121,5,0,0,0.054945054945054944,0.0
Android,386,980,386,83,0,0,814,166,0,0,0.21502590673575128,0.0
Home/Black Lives Matter/,20,30,20,2,0,0,26,4,0,0,0.1,0.0
Office/,88,2626,88,8,0,0,2290,336,0,0,0.090909090909090912,0.0
Fun/,9,164,9,0,0,0,164,0,0,0,0.0,0.0
Water Bottles/,157,3259,157,15,0,0,3081,178,0,0,0.095541401273885357,0.0
Home/Gift Cards/,27,395,27,8,0,0,220,175,0,0,0.29629629629629628,0.0
Shopping and Totes/,36,666,36,3,0,0,622,44,0,0,0.083333333333333329,0.0
Electronics/,3,30,3,0,0,0,30,0,0,0,0.0,0.0
Kid's-Infant/,42,306,42,13,0,0,240,66,0,0,0.30952380952380953,0.0
Men's Warm Gear/,5,107,5,1,0,0,95,12,0,0,0.2,0.0
Women's T-Shirts/,28,649,28,4,0,0,591,58,0,0,0.14285714285714285,0.0
Water Bottles,5,8,5,0,0,0,8,0,0,0,0.0,0.0
More Bags/,9,144,9,1,0,0,132,12,0,0,0.1111111111111111,0.0
YouTube,26,37,26,0,0,0,37,0,0,0,0.0,0.0
Women's T-Shirts,4,11,4,1,0,0,9,2,0,0,0.25,0.0
Kids-Youth/,7,61,7,0,0,0,61,0,0,0,0.0,0.0
Clearance-Accessories/,8,18,8,0,0,0,18,0,0,0,0.0,0.0
Women's Warm Gear/,1,12,1,0,0,0,12,0,0,0,0.0,0.0
Miscellaneous/,1,6,1,0,0,0,6,0,0,0,0.0,0.0
New-Accessories/,1,12,1,0,0,0,12,0,0,0,0.0,0.0
Electronics/Electronic Accessories/,1,9,1,0,0,0,9,0,0,0,0.0,0.0
Men's Warm Gear,1,1,1,0,0,0,1,0,0,0,0.0,0.0
Kid's-Toddler/,3,14,3,0,0,0,14,0,0,0,0.0,0.0
,5153,13946,4638,832,1047,206,8594,1825,3297,230,0.17938766709788703,0.044415696420871065
Small Goods,2860,9190,2782,607,169,158,6837,1338,839,176,0.21818835370237238,0.056793673616103525
Google,2637,11762,2361,568,302,225,8047,1907,1529,279,0.24057602710715797,0.095298602287166453
Stationery,1243,4795,1049,289,209,188,2479,686,1325,305,0.27550047664442329,0.17921830314585319
Drinkware,3077,13698,2819,886,558,532,7809,2125,3055,709,0.31429584959205392,0.18871940404398724
Bags,2895,11164,2428,325,704,498,5433,540,4487,704,0.13385502471169686,0.20510708401976935
Lifestyle,2408,10204,1855,399,533,450,5559,1011,3035,599,0.21509433962264152,0.24258760107816713
Campus Collection,1968,13238,1336,428,801,737,3685,1418,6638,1497,0.32035928143712578,0.55164670658682635
New,2613,11930,1432,285,1160,907,2448,513,7524,1445,0.19902234636871508,0.63337988826815639
Apparel,6090,35147,2911,624,3096,2430,7426,1711,21026,4984,0.21435932669185848,0.83476468567502582
Shop by Brand,1348,7008,422,119,856,629,1160,357,4675,816,0.28199052132701424,1.4905213270142179
Fun,49,161,3,0,26,36,4,0,116,41,0.0,12.0
Office,831,5026,32,4,672,544,54,12,4122,838,0.125,17.0
Accessories,1140,7598,35,0,941,775,57,0,6265,1276,0.0,22.142857142857142
(not set),733,2534,9,135,547,397,9,144,1933,448,15.0,44.111111111111114
